Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_EstacionArribo,Fecha Arribo,Hora_Arribo
M,23.0,2764694,021,09/04/2024,20:37:32,271-272,09/04/2024,20:53:04
M,36.0,7452691,229,28/03/2024,15:49:06,030,28/03/2024,16:17:03
F,50.0,5918644,265,27/04/2024,21:40:25,537,27/04/2024,21:55:14
M,27.0,2741791,459,15/04/2024,14:23:05,461,15/04/2024,14:30:25
M,52.0,8115586,667,29/04/2024,14:05:08,164,29/04/2024,14:20:15
M,27.0,3775616,127,06/03/2024,18:13:53,569,06/03/2024,18:27:12
M,47.0,4479887,349,01/03/2024,06:58:03,629,01/03/2024,07:11:50
M,32.0,2486066,325,28/04/2024,12:11:51,668,28/04/2024,12:28:45
F,44.0,2609014,021,18/01/2024,13:23:03,338,18/01/2024,13:51:48
F,27.0,6801344,040,26/02/2024,22:50:09,126,26/02/2024,22:54:21
M,31.0,2915106,617,29/04/2024,20:11:04,594,29/04/2024,20:20:39
M,25.0,6818041,138,08/01/2024,07:16:49,158-159,08/01/2024,07:24:23
M,33.0,2358166,670,20/02/2024,08:01:57,439,20/02/2024,08:09:36
M,47.0,2367068,303,07/01/2024,09:12:20,381,07/01/2024,09:26:33
M,35.0,7335599,201,22/02/2024,17:06:23,132,22/02/2024,17:28:21
M,35.0,8262990,294,02/02/2024,20:09:17,179,02/02/2024,20:20:04
M,23.0,7441769,571,06/03/2024,18:43:59,570,06/03/2024,18:51:39
M,36.0,4708590,449,04/04/2024,15:43:10,194,04/04/2024,16:18:36
M,20.0,2111557,498,15/02/2024,16:16:46,499,15/02/2024,16:47:43
M,34.0,6424600,115,05/01/2024,15:02:54,066,05/01/2024,15:19:11
M,22.0,3458890,141,26/04/2024,21:42:02,287,26/04/2024,22:03:50
M,27.0,3953981,616,30/01/2024,18:17:59,683,30/01/2024,18:57:25
O,44.0,6827554,518,15/03/2024,18:07:32,266-267,15/03/2024,18:31:57
M,43.0,4178851,494,26/01/2024,18:17:40,038,26/01/2024,18:36:35
M,58.0,7032550,395,13/04/2024,18:43:14,371,13/04/2024,18:52:35
M,38.0,5082839,168,17/02/2024,14:01:42,072,17/02/2024,14:05:13
M,53.0,3686474,640,29/01/2024,07:52:03,184,29/01/2024,08:19:14
F,32.0,7529506,464,10/04/2024,06:55:18,215,10/04/2024,07:01:33
F,32.0,3710100,503,11/01/2024,13:01:06,505,11/01/2024,13:06:26
