station_id,balance_ratio,num_bikes_available,num_docks_available,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging,eightd_has_key_dispenser,has_kiosk,lat_grid,lon_grid
43,0.12646775114458877,2.38659793814433,15.688144329896907,807e7b74-3786-4f1d-8aad-73e222ec9aee,CE-367 Boston -Augusto Rodin,367,19.379593,-99.181351,"['KEY', 'CREDITCARD']",19,False,False,False,True,19.37,-99.19
44,0.1231907710313122,5.592783505154639,38.8041237113402,b45f855c-06ab-4564-b52b-90b8d1fcea9e,CE-390-391 Oso-Félix Cuevas,390-391,19.373161,-99.178243,"['KEY', 'CREDITCARD']",47,False,False,False,True,19.37,-99.18
46,0.15006808142795436,4.56701030927835,25.064432989690722,0e0b8cec-c253-4edc-b46b-86030e5ce26d,CE-370 Tlacoquemécatl-Av. Insurgentes,370,19.378827,-99.176944,"['KEY', 'CREDITCARD']",31,False,False,False,True,19.37,-99.18
47,0.23159372750363338,5.177835051546392,16.4819587628866,f60886eb-abc3-419f-93ad-a3486fb1d1df,CE-354 Boston-Av. Insurgentes,354,19.381714,-99.176664,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.38,-99.18
48,0.17774943195158346,4.002577319587629,17.489690721649485,8b8595c4-4b99-47c9-b9cb-18798af3aba7,CE-333 Georgia-Carolina,333,19.387624,-99.180978,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.38,-99.19
51,0.13676109495697125,3.615979381443299,21.644329896907216,1aba47b5-d46a-458c-94cf-684cf9e264fc,CE-414 Parroquia-José Ignacio Bartolache,414,19.37021383558753,-99.17385498530166,"['KEY', 'CREDITCARD']",27,False,False,False,True,19.37,-99.18
52,0.21641293818370833,7.546391752577319,26.007731958762886,de6d1b56-740c-49b8-8108-9fdc96b3e5be,CE-432 Carrillo Puerto-Avenida México-Coyoacan,432,19.361245,-99.16239,"['KEY', 'CREDITCARD']",35,False,False,False,True,19.36,-99.17
56,0.1077414752217663,3.7422680412371134,29.88144329896907,7304514a-8264-4fb6-aad0-ce2118bedd47,CE-413 Parroquia-Avenida Coyoacán,413,19.369823,-99.172164,"['KEY', 'CREDITCARD']",35,False,False,False,True,19.36,-99.18
57,0.13045515667658206,2.997422680412371,19.22680412371134,5ca28951-6799-4211-a5a8-deb629d685bc,CE-345 Patricio Sanz - Miraflores,345,19.384447,-99.172039,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.38,-99.18
59,0.22970085470085472,6.118556701030927,20.105670103092784,4e82c891-1e00-4dec-b9ab-ec81464ffb97,CE-307 Minnesota-Dakota,307,19.393711808925048,-99.17581468826027,"['KEY', 'CREDITCARD']",27,False,False,False,True,19.39,-99.18
60,0.170257291391312,4.554123711340206,21.45360824742268,6eeb8ffb-d232-488a-bf54-6c654853ebca,CE-361 Porfirio Díaz-Capulín,361,19.380691,-99.175036,"['KEY', 'CREDITCARD']",27,False,False,False,True,19.38,-99.18
61,0.1819782552196136,6.324742268041237,27.587628865979383,d01f4057-adb8-4d30-9053-a1ad6104338f,CE-393 Adolfo Prieto-Félix Cuevas,393,19.373307,-99.172471,"['KEY', 'CREDITCARD']",35,False,False,False,True,19.37,-99.18
63,0.22698942119803248,4.255154639175258,13.108247422680412,cdf47baf-c2cf-404f-b4cf-e468133d1ea2,CE-349 Augusto Rodin-Avenida San Antonio,349,19.385632,-99.180848,"['KEY', 'CREDITCARD']",19,False,False,False,True,19.38,-99.19
64,0.21865035906912333,6.63659793814433,22.88144329896907,d76624f9-ffe5-447a-ac53-f4406a6e3b95,CE-284 Dakota-Vermont,284,19.397693,-99.172981,"['KEY', 'CREDITCARD']",31,False,False,False,True,19.39,-99.18
65,0.12553887672060213,3.814432989690722,25.677835051546392,1bceb889-ddef-4684-8c34-37abf921beb0,CE-308 Nueva York-Arizona,308,19.393643,-99.178156,"['KEY', 'CREDITCARD']",31,False,False,False,True,19.39,-99.18
67,0.16383481675951422,3.7036082474226806,18.04639175257732,b4e673b0-acd6-4c9c-bf8d-d9c1abf182e4,CE-325 Providencia -Avenida Del Valle,325,19.38817793281278,-99.16966706519814,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.38,-99.17
68,0.1897736732115934,4.298969072164948,17.70618556701031,04becea3-e1da-4eac-8e82-ff9089c18a51,CE-327 Georgia -Pensilvania,327,19.38885,-99.17772,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.38,-99.18
